experiment,m,n,time [s]
1,10,10,0.364011
1,10,50,0.349692
1,10,100,0.351898
1,10,500,0.379527
1,10,1000,0.349675
1,10,5000,0.370676
1,10,10000,0.356335
1,50,10,0.357609
1,50,50,0.353305
1,50,100,0.372685
1,50,500,0.350709
1,50,1000,0.35037
1,50,5000,0.363066
1,50,10000,0.38074
1,100,10,0.352085
1,100,50,0.349755
1,100,100,0.352324
1,100,500,0.362102
1,100,1000,0.357258
1,100,5000,0.367832
1,100,10000,0.385898
1,500,10,0.356894
1,500,50,0.358766
1,500,100,0.355555
1,500,500,0.372098
1,500,1000,0.370917
1,500,5000,0.437397
1,500,10000,0.52201
1,1000,10,0.371418
1,1000,50,0.361366
1,1000,100,0.364939
1,1000,500,0.374093
1,1000,1000,0.394493
1,1000,5000,0.524984
1,1000,10000,0.696823
1,5000,10,0.390273
1,5000,50,0.422204
1,5000,100,0.404433
1,5000,500,0.473114
1,5000,1000,0.560004
1,5000,5000,1.23031
1,5000,10000,2.0723
1,10000,10,0.435651
1,10000,50,0.446808
1,10000,100,0.459059
1,10000,500,0.594493
1,10000,1000,0.766271
1,10000,5000,2.09972
1,10000,10000,3.81837
1,50000,10,0.762504
1,50000,50,0.793684
1,50000,100,0.842356
1,50000,500,1.48656
1,50000,1000,2.30981
1,50000,5000,9.00489
1,50000,10000,17.5516
1,100000,10,1.0109
1,100000,50,1.15194
1,100000,100,1.30885
1,100000,500,2.61808
1,100000,1000,4.26997
1,100000,5000,17.648
1,100000,10000,34.7495
2,10,10,0.352731
2,10,50,0.358441
2,10,100,0.351563
2,10,500,0.350909
2,10,1000,0.351372
2,10,5000,0.358128
2,10,10000,0.357245
2,50,10,0.349834
2,50,50,0.352028
2,50,100,0.353469
2,50,500,0.345124
2,50,1000,0.361582
2,50,5000,0.357776
2,50,10000,0.377925
2,100,10,0.354993
2,100,50,0.355648
2,100,100,0.351808
2,100,500,0.353546
2,100,1000,0.361484
2,100,5000,0.38635
2,100,10000,0.387753
2,500,10,0.357791
2,500,50,0.351809
2,500,100,0.365506
2,500,500,0.375206
2,500,1000,0.372704
2,500,5000,0.438634
2,500,10000,0.524853
2,1000,10,0.358977
2,1000,50,0.359158
2,1000,100,0.369335
2,1000,500,0.374072
2,1000,1000,0.392974
2,1000,5000,0.525258
2,1000,10000,0.6986
2,5000,10,0.402129
2,5000,50,0.3959
2,5000,100,0.408428
2,5000,500,0.477836
2,5000,1000,0.555184
2,5000,5000,1.21703
2,5000,10000,2.0766
2,10000,10,0.43112
2,10000,50,0.444523
2,10000,100,0.464378
2,10000,500,0.595089
2,10000,1000,0.762599
2,10000,5000,2.09841
2,10000,10000,3.80016
2,50000,10,0.731613
2,50000,50,0.759446
2,50000,100,0.843905
2,50000,500,1.48325
2,50000,1000,2.30464
2,50000,5000,8.99589
2,50000,10000,17.5236
2,100000,10,1.01066
2,100000,50,1.14044
2,100000,100,1.31138
2,100000,500,2.61654
2,100000,1000,4.26306
2,100000,5000,17.6843
2,100000,10000,34.746
3,10,10,0.349339
3,10,50,0.376683
3,10,100,0.349371
3,10,500,0.352678
3,10,1000,0.358888
3,10,5000,0.358321
3,10,10000,0.3502
3,50,10,0.361212
3,50,50,0.354195
3,50,100,0.352064
3,50,500,0.358689
3,50,1000,0.372404
3,50,5000,0.362989
3,50,10000,0.366998
3,100,10,0.379144
3,100,50,0.353129
3,100,100,0.350914
3,100,500,0.354172
3,100,1000,0.353378
3,100,5000,0.373276
3,100,10000,0.382327
3,500,10,0.356404
3,500,50,0.35739
3,500,100,0.355753
3,500,500,0.360028
3,500,1000,0.374357
3,500,5000,0.44037
3,500,10000,0.523745
3,1000,10,0.358482
3,1000,50,0.359813
3,1000,100,0.364205
3,1000,500,0.377496
3,1000,1000,0.404557
3,1000,5000,0.530863
3,1000,10000,0.696641
3,5000,10,0.39477
3,5000,50,0.396474
3,5000,100,0.414075
3,5000,500,0.475408
3,5000,1000,0.553611
3,5000,5000,1.21914
3,5000,10000,2.08324
3,10000,10,0.434946
3,10000,50,0.44634
3,10000,100,0.464829
3,10000,500,0.589984
3,10000,1000,0.777245
3,10000,5000,2.08015
3,10000,10000,3.79886
3,50000,10,0.719852
3,50000,50,0.758197
3,50000,100,0.836213
3,50000,500,1.48178
3,50000,1000,2.29889
3,50000,5000,9.00607
3,50000,10000,17.5287
3,100000,10,1.03601
3,100000,50,1.1469
3,100000,100,1.31435
3,100000,500,2.61609
3,100000,1000,4.25669
3,100000,5000,17.6619
3,100000,10000,34.6781
